ZipCode,Month,Year,CustomerClass,TotalCustomers,TotalkWh,AveragekWh
91948,8,2022,I,0,0,0
91948,8,2022,R,0,0,0
91950,8,2022,A,0,0,0
91950,8,2022,C,2001,19383425,9687
91950,8,2022,I,0,0,0
91950,8,2022,R,15801,7285349,461
91962,8,2022,A,0,0,0
91962,8,2022,C,0,0,0
91962,8,2022,I,0,0,0
91962,8,2022,R,0,0,0
91963,8,2022,A,0,0,0
91963,8,2022,C,0,0,0
91963,8,2022,I,0,0,0
91963,8,2022,R,0,0,0
91977,8,2022,A,0,0,0
91977,8,2022,C,797,4698681,5895
91977,8,2022,I,0,0,0
91977,8,2022,R,18683,11791970,631
91978,8,2022,A,0,0,0
91978,8,2022,C,0,0,0
91978,8,2022,I,0,0,0
91978,8,2022,R,2946,2373373,806
91980,8,2022,A,0,0,0
91980,8,2022,C,0,0,0
91980,8,2022,I,0,0,0
91980,8,2022,R,0,0,0
92003,8,2022,A,0,0,0
92003,8,2022,C,296,1229273,4153
92003,8,2022,I,0,0,0
92003,8,2022,R,1943,1354819,697
92004,8,2022,A,0,0,0
92004,8,2022,C,0,0,0
92004,8,2022,I,0,0,0
92004,8,2022,R,2236,2136357,955
92007,8,2022,A,0,0,0
92007,8,2022,C,0,0,0
92007,8,2022,I,0,0,0
92007,8,2022,R,852,230092,270
92008,8,2022,A,0,0,0
92008,8,2022,C,0,0,0
92008,8,2022,I,0,0,0
92008,8,2022,R,3253,1321000,406
92009,8,2022,A,0,0,0
92009,8,2022,C,0,0,0
92009,8,2022,I,0,0,0
92009,8,2022,R,2944,1555500,528
92010,8,2022,A,0,0,0
92010,8,2022,C,0,0,0
92010,8,2022,I,0,0,0
92010,8,2022,R,1652,1332584,807
92011,8,2022,A,0,0,0
92011,8,2022,C,169,1586116,9385
92011,8,2022,I,0,0,0
92011,8,2022,R,1916,862501,450
92014,8,2022,A,0,0,0
92014,8,2022,C,0,0,0
92014,8,2022,I,0,0,0
92014,8,2022,R,1845,961857,521
92019,8,2022,A,0,0,0
